NTA,trees,lat,long
BK09,1767,40.6953262507074,-73.9944302800736
BK17,5321,40.5886626987108,-73.9436694680417
BK19,1281,40.5817855791959,-73.9620851086729
BK21,1454,40.5764966432875,-73.9912350340853
BK23,481,40.5793887213721,-73.9707773893555
BK25,4247,40.6008721126419,-73.9650704564587
BK26,1412,40.5890916508994,-73.9778124793626
BK27,1818,40.6047592908966,-74.008094240352
BK28,4258,40.6126622797182,-73.9949215407609
BK29,3348,40.6025382154809,-73.9823886794594
BK30,3248,40.622579857657,-74.0123280761145
BK31,7026,40.6270854447993,-74.0303109060845
BK32,3243,40.6502702040426,-74.0090820362134
BK33,4346,40.6807565719857,-74.0008494131477
BK34,3224,40.6423221609895,-74.0045643942773
BK35,3879,40.6873335897113,-73.9316459099562
BK37,6314,40.6705371962607,-73.9816095929395
BK38,2937,40.6900625349642,-73.9862328662751
BK40,2290,40.6542626862795,-73.9777539738908
BK41,2295,40.6404839651983,-73.9759499981612
BK42,6116,40.6375218200687,-73.9622865549003
BK43,4860,40.6205596011214,-73.956489122714
BK44,3644,40.6052646222805,-73.9474110097036
BK45,7449,40.6140730731709,-73.9188052828205
BK46,2537,40.6167718129484,-73.9694141855893
BK50,5994,40.6378822025776,-73.9005866681665
BK58,5589,40.625800520492,-73.9305641792002
BK60,3169,40.6590056159388,-73.949416104077
BK61,6411,40.6740269891499,-73.9396958183154
BK63,2120,40.6668825311745,-73.9500726429293
BK64,1535,40.6769562775049,-73.9675830692052
BK68,2150,40.6901298075116,-73.9737014102512
BK69,3017,40.6877620514485,-73.9629855333676
BK72,1658,40.7039954097165,-73.9584253779795
BK73,3484,40.7144568392997,-73.9579483576005
BK75,3702,40.6904771300783,-73.9494229176986
BK76,3375,40.7281236947733,-73.9497741929274
BK77,3455,40.7001407012562,-73.9168939540145
BK78,4538,40.6952704735919,-73.9234754534949
BK79,2340,40.676823800953,-73.9140284411368
BK81,3092,40.6636576054237,-73.9109128180078
BK82,9607,40.666731626718,-73.8793953272656
BK83,3644,40.6823951793414,-73.8772030515615
BK85,2991,40.6661936585289,-73.8947331778034
BK88,5955,40.6310355022469,-73.9886353210361
BK90,2296,40.7129765166028,-73.9438280804007
BK91,3008,40.644766056383,-73.9382006904388
BK93,688,40.6480522957413,-73.8826285723692
BK95,1395,40.6452511767814,-73.9512639099642
BK96,3312,40.6527027141184,-73.9223383616697
BX01,1706,40.8437520188687,-73.8992175290035
BX03,2629,40.8794978064131,-73.8403166959643
BX05,1821,40.8682222104393,-73.8894872464196
BX06,1637,40.8559887242395,-73.8854831387538
BX07,1550,40.8639470379806,-73.8651995338194
BX08,1623,40.8346007752126,-73.8710683227727
BX09,3819,40.8182277726499,-73.857399809204
BX10,3196,40.8460432256665,-73.8133901919712
BX13,2103,40.8739932554208,-73.8295474494294
BX14,2498,40.83200447,-73.9147075295597
BX17,2593,40.8454529829387,-73.8862389956344
BX22,2019,40.8999202832739,-73.9036450404904
BX26,1979,40.8384949871703,-73.9249574176402
BX27,3521,40.8152371632434,-73.8876463881483
BX28,2399,40.8765171726053,-73.8965655381826
BX29,2017,40.8834920630788,-73.9077230881606
BX30,1184,40.8643405557348,-73.9048642860726
BX31,3843,40.8636876525319,-73.8464599114988
BX33,1572,40.8204312879262,-73.8987891876272
BX34,2156,40.8183712113451,-73.9117709338776
BX35,2330,40.8280124869571,-73.9015452108241
BX36,2002,40.8521758184366,-73.9140456812937
BX37,3143,40.8459503294273,-73.8545558812345
BX39,2517,40.8091816842392,-73.9174413158323
BX40,1060,40.8581943967076,-73.8998427814245
BX41,2051,40.8488919283276,-73.9053786794637
BX43,1981,40.8778711268955,-73.8788748754467
BX44,3371,40.8817679175527,-73.8591335447167
BX46,790,40.8372720433797,-73.8579331201266
BX49,2312,40.8540308020458,-73.857564122353
BX52,5023,40.8262158120705,-73.8226029231714
BX55,1921,40.8281363955856,-73.8698594146538
BX59,2820,40.8318995403404,-73.8495737653936
BX62,4083,40.8969224161376,-73.8531530837154
BX63,2142,40.8305311634921,-73.9225289541877
BX75,1546,40.8346236910931,-73.8892278303687
MN01,1754,40.8681330910148,-73.9195004842075
MN03,3515,40.8166354748421,-73.9416232089132
MN04,2407,40.8265954704986,-73.9477652559161
MN06,913,40.8180687696933,-73.952728203494
MN09,2751,40.8059909784878,-73.9635630853762
MN11,2670,40.8041658772584,-73.9515830126554
MN12,5881,40.7897279463476,-73.9734322065669
MN13,2988,40.7469568786647,-73.9996911453815
MN14,2065,40.7749498145278,-73.9828838538015
MN15,2008,40.7638616948954,-73.9911425379532
MN17,1196,40.7569474568478,-73.9817195475753
MN19,2253,40.7548233644607,-73.9681429524101
MN20,1746,40.7450238320447,-73.9781745533734
MN21,1172,40.7368604434642,-73.9842826426195
MN22,1575,40.7276362665079,-73.9857818122222
MN23,3837,40.7334505752072,-74.0026175243159
MN24,2215,40.7219444165689,-74.0054859489029
MN25,1311,40.7094037503051,-74.0127570580015
MN27,1474,40.7165985270624,-73.9924434650814
MN28,1943,40.7195273406022,-73.9814554787391
MN31,2327,40.7665685525269,-73.9577154576021
MN32,2269,40.7770257379991,-73.9490966129528
MN33,2014,40.7903595778848,-73.9471291094389
MN34,2591,40.8008886256735,-73.938154306758
MN35,2684,40.8556983353055,-73.931488477228
MN36,2990,40.8410458860401,-73.9400475287525
MN40,4673,40.7753205097561,-73.9611303896426
MN50,447,40.7324140468456,-73.9771425021253
QN01,4077,40.6931036660976,-73.7926288920358
QN02,2967,40.6713438465386,-73.7712455947085
QN03,3754,40.6622812481247,-73.7619635948455
QN05,5372,40.6598021217964,-73.7344989317405
QN06,4254,40.7209338248331,-73.7782440060696
QN07,2553,40.710307930521,-73.7607995243126
QN08,7239,40.6922183057204,-73.7627851915859
QN10,4351,40.5824557739508,-73.8463911631395
QN12,3187,40.5930363710857,-73.7927867845686
QN15,4972,40.6029522620394,-73.7535557240447
QN17,7701,40.7213924577626,-73.8478888444786
QN18,2460,40.7252490143984,-73.862984885061
QN19,4509,40.702996091293,-73.8775895432092
QN20,6481,40.7053548052939,-73.9042621908872
QN21,5345,40.7197218953695,-73.8794280524715
QN22,3227,40.7615005758723,-73.8273979808677
QN23,3474,40.7828319941221,-73.8443571889522
QN25,2070,40.7429069237874,-73.8584579532657
QN26,2264,40.7529822372085,-73.8634464199117
QN27,2165,40.7632191899954,-73.8694872794919
QN28,6863,40.7564137140449,-73.8853490194026
QN29,3307,40.7399432397823,-73.8760348173723
QN30,3290,40.7251995740912,-73.9001220972006
QN31,5242,40.7434162837409,-73.929846754195
QN33,3324,40.6940346201534,-73.7356655422142
QN34,6856,40.7171880243626,-73.7425507226152
QN35,3278,40.7121052584015,-73.8082495222361
QN37,5088,40.7256593348919,-73.8183770913935
